company,ticker,provider_name,provider_url,provider_access_date,valuation_date,market_cap_inr_crore,provider_ev_inr_crore,reconstructed_ev_inr_crore,total_borrowings_inr_crore,lease_liabilities_inr_crore,minority_interest_inr_crore,preference_capital_inr_crore,cash_and_equivalents_inr_crore,bank_balances_inr_crore,current_investments_inr_crore,other_cash_like_assets_inr_crore,annual_report_year,annual_report_url,page_reference,note_reference,data_quality_flag,notes
Bharat Electronics Ltd,BEL.NS,Yahoo Finance,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
Bharat Electronics Ltd,BEL.NS,Screener.in,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
Bharat Electronics Ltd,BEL.NS,Moneycontrol,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
Bharat Electronics Ltd,BEL.NS,StockAnalysis,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
NALCO,NATIONALUM.NS,Yahoo Finance,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
NALCO,NATIONALUM.NS,Screener.in,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
NALCO,NATIONALUM.NS,Moneycontrol,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
NALCO,NATIONALUM.NS,StockAnalysis,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
Polycab India Ltd,POLYCAB.NS,Yahoo Finance,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
Polycab India Ltd,POLYCAB.NS,Screener.in,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
Polycab India Ltd,POLYCAB.NS,Moneycontrol,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
Polycab India Ltd,POLYCAB.NS,StockAnalysis,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
Hero MotoCorp Ltd,HEROMOTOCO.NS,Yahoo Finance,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
Hero MotoCorp Ltd,HEROMOTOCO.NS,Screener.in,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
Hero MotoCorp Ltd,HEROMOTOCO.NS,Moneycontrol,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
Hero MotoCorp Ltd,HEROMOTOCO.NS,StockAnalysis,,YYYY-MM-DD,YYYY-MM-DD,,,,,,,,,,,,FY2024-25,,,,needs_review,
